Date,close,volume,open,high,low
4/27/2017,107.38,897814,107.79,108.49,107.24
4/26/2017,107.5,1788521,108.62,108.71,106.51
4/25/2017,108.46,941460,108.54,108.89,108.29
4/24/2017,108.44,864820,107.64,108.62,107.64
4/21/2017,107.4,1075170,108.6,108.74,107.38
4/20/2017,108.8,940265,108.74,109.09,108.09
4/19/2017,108.63,656399,109.56,109.78,108.36
4/18/2017,109.47,857361,108.71,110,108.63
4/17/2017,108.7,557395,108.31,108.85,108.17
4/13/2017,108.2,571876,108.95,108.96,108.15
4/12/2017,109.05,596112,108.44,109.1,108.02
4/11/2017,108.41,737166,108.13,108.48,107.77
4/10/2017,108.32,1426043,109.62,109.79,108.04
4/7/2017,109.52,961081,109.02,109.8,108.61
4/6/2017,108.88,535534,109.07,109.27,108.52
4/5/2017,109.07,912700,108.52,109.8,108.23
4/4/2017,108.39,935411,108.43,108.55,107.74
4/3/2017,108.92,1008199,108.93,109.33,108.66
3/31/2017,109.25,1034417,108.89,109.68,108.25
3/30/2017,108.9,933400,109.39,109.615,108.54
3/29/2017,109.61,792888,109.1,109.73,108.68
3/28/2017,109.15,1338894,108.03,109.9,107.72
3/27/2017,108.26,854412,107.66,108.53,107.45
3/24/2017,107.98,794527,108.38,108.62,107.48
3/23/2017,108.1,707550,107.92,108.735,107.65
3/22/2017,107.94,1173537,108.4,108.71,107.12
3/21/2017,108.11,1196663,108.42,108.93,107.98
3/20/2017,108.85,946504,109.01,109.17,108.49
3/17/2017,109.01,1361834,109.76,109.76,108.96
3/16/2017,109.47,604336,109.23,109.5,108.5
3/15/2017,109.29,857571,108.61,109.56,108.53
3/14/2017,108.52,679382,108.7,108.855,108.28
3/13/2017,108.7,768831,108.64,108.93,108.38
3/10/2017,108.93,735628,109.8,109.85,108.72
3/9/2017,109.36,993657,108.8,109.55,108.28
3/8/2017,108.57,1696751,108.01,108.75,107.32
3/7/2017,108.15,803242,108.67,108.88,108.08
3/6/2017,108.6,775197,107.97,108.71,107.89
3/3/2017,108.66,883788,108.79,109.11,108.09
3/2/2017,109.13,1059419,109.58,109.66,108.58
3/1/2017,109.4,1708971,108.6,109.9,107.82
2/28/2017,108.35,1553608,108.18,109.09,108.12
2/27/2017,107.8,744425,108.69,109,107.73
2/24/2017,108.9,1055638,108.7,108.99,108.18
2/23/2017,108.65,880568,108.09,109.31,107.97
2/22/2017,107.95,839764,107.79,108.16,107.58
2/21/2017,108.48,1335122,107.5,108.87,107.12
2/17/2017,107.25,1749499,106.83,107.76,106.51
2/16/2017,107.65,1465137,109.23,109.57,107.36
2/15/2017,108.8,1058123,108.01,109.08,107.68
2/14/2017,108.34,686514,107.99,108.4,107.44
2/13/2017,108.21,654515,107.5,108.4,107.32
2/10/2017,107.62,979443,108.24,108.61,107.44
2/9/2017,108.11,1935485,107.23,109.58,107.23
2/8/2017,106.98,893750,107,107.5,106.71
2/7/2017,107.19,1447609,107.45,108.06,107.06
2/6/2017,107.41,1095055,107,107.7,106.3212
2/3/2017,106.98,2708556,103.6,107.44,101.61
2/2/2017,105.59,1519637,105.46,106.07,104.92
2/1/2017,105.12,1233956,105.29,105.94,104.51
1/31/2017,105.47,1702805,105.79,106.3,105.0501
1/30/2017,105.07,1321819,105.79,106.09,104.55
1/27/2017,105.51,1034337,105.98,106.02,104.6
1/26/2017,105.67,767205,105.97,106.2,105.56
1/25/2017,106.3,699747,106.6,106.8,106
1/24/2017,106.52,849676,105.44,107.25,105.13
1/23/2017,105.3,696091,105.56,105.64,104.975
1/20/2017,105.57,614767,105.79,106.2,104.97
1/19/2017,105.22,462956,105.64,105.7,104.85
1/18/2017,105.65,1184670,105.23,106.28,104.97
1/17/2017,105.17,902351,104.82,105.41,104.42
1/13/2017,104.85,677244,104.59,105.24,104.35
1/12/2017,104.68,763125,104.74,105.48,104.31
1/11/2017,104.95,940973,104.48,105.59,104.41
1/10/2017,104.83,1126106,104.38,105.14,103.8521
1/9/2017,103.89,890187,104.51,104.73,103.54
1/6/2017,104.51,916484,104.45,105.225,103.71
1/5/2017,103.45,1278613,103.12,104.26,103.01
1/4/2017,104.12,844222,104.15,104.7,103.84
1/3/2017,103.92,686260,103.84,104.4,103.26
12/30/2016,103.43,732962,103.58,103.85,102.51
12/29/2016,103.99,625126,103.07,104.2,103.0696
12/28/2016,103.15,461657,103.7,103.7,102.89
12/27/2016,103.8,362277,103.57,104.04,103.5
12/23/2016,103.62,581534,104.41,104.5,103.31
12/22/2016,104.44,1505304,103.5,105.27,103.4
12/21/2016,103.17,1002729,102.97,104.03,102.64
12/20/2016,102.61,928408,100.69,102.8,100.65
12/19/2016,101.46,566671,101.3,101.54,100.62
12/16/2016,101.16,925895,100.91,101.62,100.11
