Day,UPC,Product,Pack Size,CIC,Sum Net Sales,Sum Item Quantity,Sum Markdown Amount
5/20/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1111.1352,163,-27.92
5/20/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1314.0823,95,-14
5/21/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,960.0044,146,-55.84
5/21/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,830.4,61,-22.99
5/22/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,817.6554,120,-20.47
5/22/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,405.71,29,0
5/23/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,801.2213,119,-27.92
5/23/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,293.1234,21,0
5/24/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,772.6805,113,-15.47
5/24/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,349.75,25,0
5/25/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,593.3102,87,-14.47
5/25/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,502.94,36,0
5/26/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1685.8215,242,-3.49
5/26/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,501.4901,36,0
5/27/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,3391.6815,487,-6.98
5/27/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,377.73,27,0
5/28/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,2886.8592,417,-24.43
5/28/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,292.8658,21,0
5/29/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,2987.8792,522,-659.35
5/29/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1696.8531,122,-8.99
5/30/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,2228.6781,328,-63
5/30/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2124.3803,152,0
5/31/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,2816.0509,408,-33
5/31/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1942.1462,139,0
6/1/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,2327.7944,339,-38.94
6/1/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2657.4,190,0
6/2/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,2413.3484,356,-71.94
6/2/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,3774.6242,271,-8.99
6/3/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,3126.622,458,-70
6/3/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,4640.3936,332,0
6/4/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,2604.9646,397,-167.94
6/4/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,3413.7433,246,-25
6/5/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1282.087,185,-6.99
6/5/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1564.3553,113,-8
6/6/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,660.1414,97,-18.98
6/6/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1323.026,95,-4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
